Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
517,pūblicus -a -um,"public, belonging to the state",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,The City
616,pudor pudōris m.,"sense of shame, modesty, propriety",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Personality Traits/Characteristics
233,puella -ae f.,girl; girl-friend,,,,FALSE,FALSE,,,,Noun: 1st Declension,People
191,puer puerī m.,boy; slave,,,,FALSE,FALSE,,,,Noun: 2nd Declension,People
650,pūgna -ae f.,fist-fight; battle,,,,FALSE,FALSE,,,,Noun: 1st Declension,Violence
708,pūgnō -āre,fight,,,,TRUE,FALSE,,,,Verb: 1st Conjugation,Violence
569,pulcher -chra -chrum,beautiful,pulcher1,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Vision
166,putō -āre,"think, suppose",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Education/Knowledge
336,quā,"where, how",,,,FALSE,FALSE,,,,Pronoun,Pronouns/Interrogatives
113,quaerō -rere -sīvī -sītum,"seek, inquire",,,,TRUE,FALSE,,,,Verb: 3rd Conjugation -ō,Education/Knowledge
263,quālis -e,of what kind? what?,,,,TRUE,FALSE,,,,Pronoun,Pronouns/Interrogatives
29,quam 1,how?,,,,TRUE,FALSE,,,,Adverb,Pronouns/Interrogatives
29,quam 2,(after comparative) than,,split from other quam,,,,,,,Adverb,Pronouns/Interrogatives
644,quamquam,"however, although",,,,FALSE,FALSE,,,,Conjunction,Conjunctions/Adverbs
489,quamvīs,however you like; although,,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
621,quandō,when?; since,,,,FALSE,FALSE,,,,Adverb,Pronouns/Interrogatives
,sī quandō,if ever,,split from quandō,,FALSE,FALSE,,,,,
