"inimīcus, inimīca, inimīcum",12,"unfriendly, hostile (to)",,
inquit,19,(s)he said [introduces a direct quotation],,
"īnsidiae, īnsidiārum, f. pl.",31,"ambush, plot; treachery",,
"intellegō, intellegere, intellēxī, intellēctus",21,to understand,,
inter (+ acc.),9,"between, among",,
"interficiō, interficere, interfēcī, interfectus",17,"to kill, destroy",,
"inūria, inūriae, f.",25,"injury, harm; insult, wrong",,
"inveniō, invenīre, invēnī, inventus",13,"to find; discover, invent",,
"ipse, ipsa, ipsum",18,"___self, himself, herself, itself; very",,
"īra, īrae, f.",6,anger,,
"īrātus, īrāta, īrātum",8,angry,,
"is, ea, id",8,"he, she, it, (pl.) they; this, that",,
ita,13,"thus, so, in this way",,
"Ītalia, Ītaliae, f.",6,Italy,,
itaque,12,"and so, therefore",,
"iter, itineris, n.",12,"journey, path, route; a day’s march",,
iterum,30,"again, a second time",,
"iubeō, iubēre, iūssī, iūssus",20,"to order, command",,
"iūdex, iūdicis, m.",27,judge,,
"iūdicium, iūdiciī, n.",14,"court, trial; judgment",,
"iūdicō, iūdicāre, iūdicāvi, iūdicātus",8,to judge; decide,,
"iungō, iungere, iūnxī, iūnctus",25,"to join, unite, connect; yoke",,
"iūs, iūris, n.",7,"right, law; justice",,
"iūstus, iūsta, iūstum",21,"just, fair",,
"iuvō, iuvāre, iūvī, iūtus",1,to help; please,,
"labor, labōris, m.",15,"work, labor, effort; hardship",,
"labōrō, labōrāre, labōrāvī, labōrātus",1,"to work, strive",,
"lacrima, lacrimae, f.",9,tear,,
"laetus, laeta, laetum",6,happy; fertile,,
"lātus, lāta, lātum",26,"wide, broad",,
"laudō, laudāre, laudāvī, laudātus",1,to praise,,
"laus, laudis, f.",15,praise,,
"lēgātus, lēgātī, m.",14,"delegate, envoy, ambassador; legion commander",,
"legō, legere, lēgī, lēctus",8,"to read; choose, select",,
"levis, leve",18,"light, easy; swift",,
"lex, lēgis, f.",7,law,,
"līber, lībera, līberum",5,free,,
"liber, librī m.",3,book,,
"līberī, līberōrum, m. pl.",19,children,,
"lībertās, lībertātis, f.",7,"freedom, liberty",,
"licet, licēre, licuit (+ dat.)",31,"it is allowed, it is lawful",,
"littera, litterae, f. pl.",8,"letter (of the alphabet); pl. letter, literature",,
