lemma	headword	definition	chapter
loquor	"loquor, loquī, locūtus sum"	"to speak, talk, say"	22
lumen	"lūmen, lūminis, n."	"light, lamp, torch; eye"	31
luna	"lūna, lūnae, f."	moon	2
lux	"lūx, lūcis, f."	light	7
maestus	"maestus, maesta, maestum"	"sad, mournful"	26
magnus	"magnus, magna, magnum"	"large, great; important"	5
male	male	badly	29
malo	"mālō, mālle, māluī, —"	"to prefer, want (something) more"	20
malus	"malus, mala, malum"	bad	5
maneo	"maneō, manēre, mānsī, mānsūrus"	"to remain, stay"	6
manus	"manus, manūs, f."	hand; band (of men)	16
mare	"mare, maris, n."	sea	10
mater	"māter, mātris, f."	mother	7
medius	"medius, media, medium"	"middle, middle of (medium mare = “the middle of the sea”)"	13
memoria	"memoria, memoriae, f."	"memory, recollection; history"	24
mens	"mēns, mentis, f. "	"mind, judgment, reason"	10
mentior	"mentior, mentīrī, mentītus sum"	"to lie, speak/say falsely"	25
metuo	"metuō, metuere, metuī, metūtus"	"to fear, dread"	27
metus 	"metus, metūs, m."	"fear, dread; anxiety"	16
meus	"meus, mea, meum"	"my, mine"	5
miles	"mīles, mīlitis, m."	soldier	9
mille	mille	thousand	11
mirabilis	"mīrābilis, mīrābile"	"wonderful, extraordinary"	32
miror	"mīror, mīrārī, mīrātus sum"	"to wonder (at), be surprised at; admire"	22
misceo	"misceō, miscēre, miscuī, mixtus"	"to mix, mingle; stir up, disturb"	11
miser	"miser, misera, miserum"	"miserable, unhappy"	6
mitto	"mittō, mittere, mīsī, missus"	to send	8
moenia	"moenia, moenium, n. pl."	"walls, fortifications"	8
moneo	"moneō, monēre, monuī, monitus"	"to advise, warn, remind"	1
mons	"mōns, montis, m. "	mountain	13
monstro	"mōnstrō, mōnstrāre, mōnstrāvī, mōnstrātus"	"to show, demonstrate"	3
mora	"mora, morae, f."	delay	22
morior	"morior, morī, mortuus sum"	to die	25
moror	"moror, morārī, morātus sum"	to delay	22
mors	"mors, mortis, f. "	death	10
mortalis	"mortālis, mortāle"	"mortal, transient; human"	20
mos	mōs est	"it is the custom, habit, way [+ subjunctive]"	28
mos	"mōs, mōris, m."	"custom, tradition"	18
motus2	"mōtus, mōtūs, m."	"emotion, impulse; movement"	24
moveo	"moveō, movēre, mōvī, mōtus"	to move; excite; affect	6
multitudo	"multitūdō, multitūdinis, f."	"multitude, great number, crowd"	20
multus	"multus, multa, multum"	"much, many"	5
murus	"mūrus, mūrī, m."	wall; fortification wall for a city	25
nam	nam	"for (= because); indeed, truly"	13
narro	"nārrō, nārrāre, nārrāvī, nārrātus"	to tell (a story)	3
nascor	"nāscor, nāscī, nātus sum"	to be born	30
natura	"nātūra, nātūrae, f."	nature	2
natus	"nātus, nātī, m."	son	30
nauta	"nauta, nautae, m."	sailor	1
navigo	"nāvigō, nāvigāre, nāvigāvī, nāvigātus"	"to sail, sail over (across), navigate"	4
navis	"nāvis, nāvis, f. "	ship	13
ne	nē	in order that … not [used with subjunctive]	25
ne	nē 	not [used with imperative and perfect subjunctive]	25
ne	nē … quidem	not … even	25
neque	nec	"and not, and … not"	10
neque	nec … nec	neither … nor	10
necesse	necesse	necessary	20
nefas	"nefās, n."	"sin, crime (against divine law), wrong"	26
neglego	"neglegō, neglegere, neglēxī, neglēctus"	"to ignore, neglect"	24
nego	"negō, negāre, negāvī, negātus"	"to deny, say that … not"	19
nemo	"nēmō, m."	no one	3
neque	neque	"and not, and … not"	10
